iter	RMSE
0	1.940880092
1	1.928111494
2	1.916037587
3	1.905584201
4	1.895063189
5	1.8846087
6	1.875291718
7	1.867540556
8	1.859682498
9	1.851608499
10	1.844030182
11	1.837246039
12	1.82983357
13	1.822845942
14	1.81615002
15	1.809526268
16	1.802804917
17	1.796383864
18	1.789881733
19	1.783333092
20	1.777748628
21	1.771603095
22	1.765573793
23	1.759874546
24	1.75464989
25	1.749570804
26	1.743865544
27	1.738856634
28	1.73339329
29	1.728656932
30	1.724038245
31	1.719711259
32	1.714996807
33	1.710517154
34	1.705742021
35	1.701347429
36	1.697123591
37	1.692682227
38	1.688416213
39	1.684264489
40	1.679244728
41	1.674883723
42	1.671084444
43	1.66710447
44	1.663215418
45	1.659761844
46	1.6559768
47	1.652450326
48	1.648924046
49	1.645473559
50	1.641594708
51	1.638251994
52	1.635007257
53	1.631631442
54	1.628487566
55	1.624852422
56	1.621526812
57	1.618732766
58	1.615869641
59	1.612870931
60	1.609895431
61	1.607085316
62	1.604381567
63	1.601356028
64	1.598452993
65	1.595317236
66	1.59271228
67	1.590029995
68	1.587145573
69	1.58450882
70	1.581779556
71	1.579023554
72	1.576414424
73	1.573398078
74	1.570649428
75	1.567792506
76	1.565308483
77	1.562960324
78	1.560748143
79	1.558430229
80	1.556166692
81	1.553806206
82	1.55162851
83	1.549351068
84	1.547088265
85	1.545014924
86	1.542860676
87	1.540493414
88	1.538447058
89	1.536453524
90	1.53414358
91	1.531819495
92	1.529535933
93	1.527394675
94	1.52542405
95	1.523527055
96	1.521344386
97	1.519139135
98	1.516999634
99	1.515028959
100	1.513117197
101	1.51115497
102	1.509065233
103	1.507247875
104	1.5054833
105	1.503607498
106	1.501629521
107	1.499886095
108	1.497924755
109	1.495894136
110	1.494340425
111	1.49266133
112	1.490922976
113	1.488832135
114	1.487140338
115	1.485379221
116	1.483725014
117	1.48198072
118	1.480318817
119	1.478603096
120	1.477170613
121	1.475619657
122	1.473795348
123	1.472003662
124	1.470402538
125	1.468646815
126	1.467021596
127	1.465504555
128	1.463838853
129	1.462154866
130	1.460604894
131	1.458910143
132	1.457448652
133	1.455941552
134	1.454414367
135	1.452909575
136	1.451295355
137	1.44983894
138	1.448335903
139	1.446793497
140	1.445318381
141	1.443748186
142	1.442185806
143	1.440826883
144	1.439344127
145	1.437749143
146	1.436349882
147	1.434880641
148	1.433409209
149	1.431815375
150	1.430467316
151	1.429074057
152	1.427640509
153	1.426345975
154	1.425036484
155	1.42365054
156	1.422346566
157	1.420989682
158	1.41956717
159	1.41814621
160	1.416741776
161	1.41529107
162	1.413911838
163	1.412520182
164	1.411261722
165	1.409939169
166	1.408575894
167	1.40717346
168	1.40590106
169	1.404637845
170	1.40327004
171	1.402003603
172	1.400674191
173	1.399454367
174	1.39805305
175	1.396786165
176	1.395422498
177	1.394144055
178	1.392923624
179	1.391607585
180	1.389945018
181	1.388593523
182	1.387314371
183	1.386046791
184	1.384852327
185	1.383689328
186	1.382325943
187	1.381030496
188	1.379745437
189	1.37847298
190	1.377362352
191	1.376207492
192	1.374887079
193	1.373761094
194	1.372614931
195	1.371435913
196	1.37028735
197	1.36909387
198	1.368066229
199	1.366933887
200	1.365820615
201	1.36463577
202	1.363522016
203	1.362337724
204	1.361298322
205	1.360176349
206	1.359100463
207	1.358080965
208	1.357049181
209	1.355957733
210	1.354870363
211	1.35380977
212	1.352729677
213	1.351705434
214	1.350726954
215	1.349688691
216	1.348687985
217	1.347729864
218	1.346698934
219	1.345654765
220	1.344627513
221	1.343741967
222	1.342777658
223	1.341643535
224	1.340741355
225	1.339704686
226	1.338601597
227	1.337612829
228	1.336660689
229	1.335726455
230	1.334763047
231	1.333873619
232	1.332923651
233	1.33195463
234	1.331060266
235	1.33018862
236	1.329268181
237	1.328367055
238	1.327478629
239	1.326546173
240	1.325680958
241	1.324781792
242	1.323931664
243	1.322961726
244	1.322000635
245	1.321136657
246	1.3202654
247	1.319406241
248	1.31859475
249	1.317763963
250	1.31691286
251	1.316081622
252	1.315286567
253	1.314468009
254	1.313596242
255	1.312808959
256	1.311997638
257	1.31121166
258	1.31034874
259	1.309529817
260	1.308703847
261	1.30789337
262	1.307208353
263	1.306423494
264	1.305604001
265	1.304838781
266	1.304084407
267	1.303312311
268	1.302509812
269	1.301609448
270	1.300831886
271	1.300051444
272	1.29927097
273	1.298596289
274	1.297830087
275	1.296988888
276	1.296209957
277	1.295352745
278	1.294626233
279	1.293878629
280	1.293112022
281	1.292409106
282	1.291545051
283	1.290799053
284	1.290065679
285	1.28936999
286	1.288614703
287	1.287922185
288	1.287155064
289	1.286485305
290	1.285653358
291	1.284971738
292	1.2842732
293	1.283439622
294	1.282755749
295	1.281994803
296	1.281302742
297	1.280615914
298	1.279977819
299	1.279179644
300	1.278549341
301	1.277897782
302	1.277254159
303	1.276484948
304	1.275795453
305	1.275086331
306	1.274359684
307	1.273692179
308	1.272986885
309	1.272334808
310	1.271578251
311	1.271026608
312	1.270394145
313	1.269713233
314	1.269036325
315	1.268361865
316	1.267726806
317	1.267089229
318	1.266340336
319	1.265720935
320	1.265119809
321	1.264507715
322	1.263915444
323	1.263305973
324	1.262581302
325	1.261868615
326	1.261261327
327	1.260660948
328	1.259992337
329	1.259395742
330	1.2587071
331	1.257902801
332	1.257229752
333	1.256733502
334	1.256100199
335	1.255501413
336	1.254911429
337	1.254345204
338	1.253717864
339	1.253094636
340	1.252465811
341	1.251917443
342	1.251310428
343	1.250645051
344	1.249922718
345	1.24933612
346	1.248761138
347	1.248213028
348	1.247648364
349	1.247062427
350	1.246512777
351	1.245887474
352	1.245290456
353	1.244671396
354	1.244194003
355	1.243616975
356	1.243074251
357	1.242586004
358	1.242030644
359	1.241462946
360	1.240949234
361	1.24044126
362	1.23991576
363	1.23932052
