iter	Passed	Remaining
0	506	506203
1	754	376709
2	989	328702
3	1281	319083
4	1531	304709
5	1757	291211
6	2108	299049
7	2431	301474
8	2666	293605
9	2940	291088
10	3183	286203
11	3454	284400
12	3751	284845
13	3985	280690
14	4228	277672
15	4465	274645
16	4798	277443
17	5028	274356
18	5268	272042
19	5547	271838
20	5789	269918
21	6028	267974
22	6281	266834
23	6515	264968
24	6759	263610
25	6993	261985
26	7247	261165
27	7479	259628
28	7710	258180
29	7949	257020
30	8212	256693
31	8452	255677
32	8686	254534
33	8925	253578
34	9150	252300
35	9400	251736
36	9642	250960
37	9889	250358
38	10168	250573
39	10400	249604
40	10645	248993
41	10870	247946
42	11212	249543
43	11462	249053
44	11690	248101
45	11926	247355
46	12166	246691
47	12408	246103
48	12640	245334
49	12871	244564
50	13101	243799
51	13334	243090
52	13564	242371
53	13826	242213
54	14081	241940
55	14312	241267
56	14547	240672
57	14801	240402
58	15044	239943
59	15293	239600
60	15558	239496
61	15813	239245
62	16055	238788
63	16281	238116
64	16538	237905
65	16786	237551
66	17055	237504
67	17304	237179
68	17535	236600
69	17813	236667
70	18078	236547
71	18324	236179
72	18574	235874
73	18799	235242
74	19046	234905
75	19295	234596
76	19551	234367
77	19798	234025
78	20025	233460
79	20284	233272
80	20512	232726
81	20769	232518
82	21006	232088
83	21247	231697
84	21474	231163
85	21723	230872
86	22077	231685
87	22308	231201
88	22560	230931
89	22810	230635
90	23042	230176
91	23392	230874
92	23643	230589
93	23878	230147
94	24136	229928
95	24451	230251
96	24683	229788
97	24918	229351
98	25170	229075
99	25409	228688
100	25742	229136
101	26015	229040
102	26260	228691
103	26494	228264
104	26871	229047
105	27116	228697
106	27353	228290
107	27589	227866
108	27818	227393
109	28068	227101
110	28320	226822
111	28592	226701
112	28883	226722
113	29208	227004
114	29502	227040
115	29791	227029
116	30093	227117
117	30421	227385
118	30711	227365
119	30992	227280
120	31271	227167
121	31556	227101
122	31862	227179
123	32140	227060
124	32414	226901
125	32705	226860
126	33000	226844
127	33299	226855
128	33595	226831
129	33911	226943
130	34267	227315
131	34577	227371
132	34877	227361
